"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"3137",2,1,1,2,2,1
"3138",2,2,2,2,2,2
"3139",7,11,12,7,7,11
"3141",3,4,4,3,2,3
"3143",5,9,6,4,4,9
"3144",5,7,8,5,3,7
"3145",6,4,1,3,6,3
"3146",4,3,3,4,3,3
"3147",1,2,1,2,1,2
"3149",3,6,9,3,3,9
"3151",3,4,4,3,3,5
"3152",2,3,3,2,2,3
"3153",1,3,4,1,3,4
"3156",11,11,11,11,12,12
"3157",7,7,7,7,7,7
"3158",7,7,7,7,6,7
"3159",11,10,8,10,10,10
"3160",1,2,2,1,1,2
"3162",2,2,2,2,1,2
"3163",3,3,3,2,3,3
"3164",11,14,14,13,11,13
"3165",2,3,2,2,2,2
"3166",14,16,16,15,11,16
"3167",1,2,2,1,2,2
"3168",9,17,12,11,9,17
"3170",1,2,1,1,2,2
"3171",7,7,7,7,7,7
"3173",2,3,4,2,1,2
"3174",3,3,3,3,3,3
"3175",1,2,1,1,1,1
"3176",4,4,2,5,5,5
"3177",12,14,11,12,12,12
"3178",1,3,4,1,2,4
"3179",12,12,12,12,12,12
"3180",9,8,9,7,7,8
"3182",2,3,2,2,2,2
"3183",2,2,2,1,2,2
"3184",4,4,6,4,3,4
"3185",3,3,4,3,4,5
"3186",44,41,44,43,41,44
"3187",5,7,7,3,4,6
"3188",4,4,4,4,4,4
"3189",11,9,10,11,10,10
"3191",8,6,6,9,5,6
"3192",17,17,15,18,15,15
"3193",6,5,6,5,5,7
"3194",2,2,1,3,1,3
"3197",5,7,5,6,2,7
"3199",4,4,6,6,3,8
"3200",4,8,9,5,5,9
"3202",2,2,3,2,2,2
"3203",11,15,14,12,13,13
"3204",13,15,15,15,14,16
"3207",7,7,6,6,6,6
"3208",8,12,11,10,9,11
"3209",5,8,8,4,6,6
"3210",3,4,5,2,3,6
"3211",3,4,4,3,2,5
"3212",29,28,29,29,29,26
"3213",9,10,9,9,9,9
"3214",15,15,16,13,16,13
"3215",43,37,37,40,39,40
"3216",2,2,2,2,3,3
"3217",12,14,13,13,15,14
"3218",4,4,6,5,6,5
"3219",9,9,7,9,10,9
"3220",9,10,10,10,10,10
"3222",10,11,12,10,9,11
"3223",2,3,4,1,2,2
"3224",3,4,4,2,4,4
"3225",2,5,5,3,2,4
"3226",2,3,2,2,2,3
"3228",7,7,8,8,8,7
"3229",6,6,7,6,6,7
"3231",4,6,4,4,2,4
"3232",3,6,4,4,3,3
"3233",2,2,2,2,2,2
"3234",11,13,13,12,11,13
"3235",10,11,11,9,8,10
"3236",4,5,4,3,3,5
"3237",1,2,3,1,1,1
"3238",7,8,9,8,5,9
"3239",5,6,5,5,6,6
"3240",3,4,4,3,3,4
"3241",1,1,1,1,1,1
"3245",1,2,2,1,1,2
"3246",2,2,2,2,1,2
"3247",1,2,2,1,1,2
"3248",9,11,11,10,10,11
"3250",8,11,9,7,8,7
"3252",3,7,6,7,5,6
"3253",3,4,4,3,4,5
"3254",2,2,3,1,1,4
"3255",4,5,7,5,5,6
"3256",5,4,5,3,4,4
"3257",3,4,4,2,2,3
"3258",2,5,3,2,3,5
"3259",2,3,4,2,2,3
"3260",5,5,5,5,5,5
"3261",13,13,13,13,12,13
"3262",4,5,8,5,6,7
"3263",2,2,2,2,2,2
"3264",1,2,1,2,1,1
"3265",4,3,6,2,2,5
"3266",5,6,5,6,5,7
"3267",4,4,4,4,4,4
"3268",7,9,9,8,7,8
"3269",1,2,2,2,2,2
"3270",5,7,6,4,5,7
"3271",4,5,5,5,5,5
"3272",10,12,11,10,11,12
"3273",5,8,9,5,6,7
"3274",4,5,9,4,5,9
"3275",4,4,5,4,2,4
"3277",2,2,2,2,2,2
"3278",8,8,10,9,9,9
"3279",3,5,4,3,3,5
"3281",1,2,4,1,2,2
"3283",3,3,3,3,2,3
"3284",2,4,4,1,4,5
"3285",1,1,1,1,1,1
"3286",2,6,9,4,6,7
"3287",1,1,1,1,1,1
"3288",2,2,2,2,2,2
"3289",4,7,7,5,5,7
"3291",2,2,1,1,2,1
"3292",13,12,14,14,13,13
"3293",15,15,13,17,17,15
"3294",4,2,5,4,5,4
"3296",3,2,3,3,3,2
"3297",6,5,7,7,6,5
"3299",9,11,7,10,10,10
"3300",4,3,3,4,4,3
"3301",14,16,16,16,13,14
"3302",14,11,15,9,14,11
"3303",9,8,9,9,8,8
"3304",11,11,11,10,11,10
"3305",29,31,28,31,30,31
"3307",21,20,20,23,22,21
"3308",1,2,1,1,1,1
"3309",2,2,2,2,2,2
"3311",9,8,9,9,8,6
"3312",1,2,1,2,2,2
"3313",5,7,5,7,5,6
"3314",6,8,8,7,7,6
"3315",4,5,5,6,3,5
"3316",7,4,5,7,6,4
"3317",9,7,8,9,8,5
"3318",4,4,5,3,3,3
"3319",2,2,2,2,2,2
"3320",1,1,1,2,1,1
"3321",26,26,24,30,29,24
"3322",9,10,8,10,9,9
"3323",4,4,4,6,4,6
"3324",7,6,6,9,7,6
"3325",10,7,9,10,9,8
"3326",4,3,4,5,4,5
"3327",3,3,2,2,2,2
"3329",8,8,7,7,6,8
"3330",8,8,8,8,8,8
"3331",7,7,7,7,7,6
"3332",6,6,6,6,6,6
"3333",6,7,7,6,7,6
"3334",17,17,16,18,18,16
"3335",5,5,5,5,5,5
"3337",2,2,2,2,2,2
"3338",29,28,28,28,26,28
"3339",8,7,7,5,7,6
"3340",7,6,9,10,9,10
"3341",9,9,8,8,8,9
"3342",4,4,4,3,5,3
"3343",8,6,7,8,8,7
"3344",7,7,7,5,6,6
"3345",24,24,24,24,25,24
"3346",2,3,2,2,1,3
"3347",16,15,14,16,14,17
"3348",14,13,14,13,13,13
"3349",6,6,3,6,4,4
"3350",17,16,17,16,17,16
"3351",14,16,16,15,15,16
"3353",4,4,3,4,4,4
"3354",8,8,8,8,8,8
"3355",2,2,2,2,2,2
"3356",9,11,10,12,11,11
"3357",2,2,2,2,2,1
"3358",3,3,3,3,3,3
"3359",17,17,15,18,16,17
"3360",2,1,2,2,2,1
"3361",5,4,5,5,4,4
"3362",18,20,16,19,20,18
"3363",26,25,23,25,22,25
"3365",3,3,4,3,3,2
"3366",15,15,16,15,14,17
"3367",3,2,2,1,1,2
"3368",11,12,11,12,12,12
"3369",5,4,5,4,5,5
"3370",5,5,6,6,5,6
"3371",3,2,2,2,1,3
"3372",3,2,3,2,2,2
"3373",6,7,7,9,8,8
"3374",3,4,3,4,4,4
"3375",2,2,1,2,2,2
"3376",5,5,5,6,5,5
"3377",9,11,11,10,9,9
"3378",3,3,1,2,2,2
"3379",13,11,10,12,12,13
"3380",10,9,10,10,10,8
"3381",7,6,8,9,8,10
"3382",3,2,3,2,2,3
"3383",10,12,10,11,12,11
"3384",3,1,1,2,2,1
"3385",6,6,5,7,8,6
"3386",13,10,11,14,13,12
"3387",9,8,7,7,7,8
"3388",7,5,6,7,6,4
"3389",3,2,2,4,4,3
"3390",13,8,12,9,9,9
"3391",3,3,2,2,2,3
"3392",6,6,6,5,5,6
"3393",4,4,4,4,4,3
"3394",7,6,8,8,7,8
"3395",10,9,11,9,9,8
"3396",19,18,19,18,18,18
"3397",12,11,11,11,11,11
"3398",9,8,9,7,7,8
"3399",6,5,6,7,6,6
"3400",3,2,2,4,3,3
"3402",13,14,14,13,13,14
"3403",9,7,8,8,7,8
"3404",3,3,3,3,3,3
"3405",2,3,2,3,2,2
"3406",30,30,31,33,32,31
"3407",3,3,3,3,4,3
"3408",6,5,6,4,5,5
"3409",3,3,3,3,3,3
"3410",11,11,10,11,11,11
"3411",13,11,11,13,14,13
"3412",5,3,3,3,5,1
"3414",7,7,4,7,6,7
"3415",6,5,3,4,5,3
"3416",5,7,5,6,7,7
"3417",6,9,7,9,10,9
"3418",35,30,29,33,33,28
"3420",21,20,21,20,18,18
"3421",9,8,9,8,8,9
"3422",18,18,17,19,17,15
"3423",2,2,2,1,2,2
"3424",2,2,1,1,2,2
"3425",3,4,1,4,3,2
"3427",3,3,2,2,2,3
"3428",22,19,20,18,22,19
"3429",93,94,92,96,96,91
"3430",10,8,11,10,10,10
"3431",4,5,4,5,5,5
"3432",12,13,12,14,12,13
"3433",6,7,8,8,7,8
"3434",8,8,10,11,8,8
"3435",4,5,5,3,4,4
"3436",10,9,9,12,9,9
"3438",53,54,55,55,56,52
"3439",6,5,5,4,4,5
"3440",2,2,1,2,2,2
"3441",3,4,4,4,3,4
"3442",1,2,2,1,2,1
"3443",10,10,10,10,10,9
"3444",9,10,10,10,9,9
"3445",3,2,3,2,3,2
"3446",15,15,14,14,14,14
"3447",5,3,5,4,5,3
"3448",3,2,1,4,3,3
"3449",34,34,33,35,31,32
"3452",10,10,10,10,9,9
"3453",8,8,9,8,9,9
"3454",7,9,8,7,8,8
"3455",24,23,26,21,25,24
"3456",9,5,9,9,11,9
"3457",11,8,10,7,10,7
"3458",17,20,19,19,20,19
"3459",2,2,1,2,2,1
"3460",16,15,19,16,13,16
"3461",19,19,18,18,17,16
"3462",5,5,4,6,6,4
"3463",27,28,26,25,26,28
"3464",8,7,7,7,8,5
"3465",3,2,3,3,3,3
"3467",8,6,7,8,7,8
"3468",25,26,22,23,24,21
"3469",10,10,10,11,11,11
"3470",3,3,4,3,3,4
"3471",13,10,11,11,11,11
"3472",27,24,27,27,27,24
"3473",16,16,16,16,15,15
"3474",47,48,48,46,51,47
"3475",6,6,5,7,6,5
"3476",13,16,13,15,17,17
"3477",8,8,10,8,10,8
"3478",1,1,2,2,2,2
"3479",11,14,11,12,12,12
"3480",3,4,4,4,4,4
"3481",2,2,2,2,4,3
"3482",8,7,6,8,7,7
"3483",15,14,12,16,12,13
"3484",10,11,10,11,9,10
"3485",16,19,17,17,19,19
"3486",26,21,24,23,25,17
"3487",3,4,3,4,2,3
"3488",5,4,5,5,5,4
"3489",33,34,34,32,34,34
"3490",2,3,1,3,1,2
"3491",1,2,1,2,1,2
"3492",10,7,11,13,11,11
"3493",1,1,2,1,1,1
"3494",25,24,23,25,25,23
"3495",1,2,2,2,2,2
"3496",7,6,6,5,7,5
"3498",6,6,6,6,6,6
"3499",3,3,2,2,3,2
"3500",10,11,11,10,10,9
"3501",2,2,1,3,2,2
"3502",4,4,3,4,4,3
"3503",10,8,10,8,7,8
"3504",11,10,11,11,11,11
"3505",8,9,9,8,9,8
"3506",4,3,4,4,4,3
"3507",4,3,2,3,2,1
"3508",65,56,56,65,61,67
"3509",17,17,15,17,14,16
"3510",3,3,2,2,2,2
"3511",19,19,17,18,18,18
"3512",8,8,8,8,8,8
"3513",16,16,17,17,16,16
"3514",7,8,7,7,7,7
"3515",9,11,12,11,10,13
"3516",7,7,7,7,6,7
"3517",2,1,1,2,2,1
"3518",3,3,3,2,2,3
"3519",6,5,6,4,4,6
"3520",6,5,6,4,6,4
"3521",16,16,15,15,15,16
"3522",9,8,9,8,8,8
"3523",5,5,5,5,5,5
"3524",5,4,5,4,4,3
"3525",2,3,2,3,3,3
"3526",2,1,2,1,2,2
"3527",35,33,32,37,34,31
"3528",8,7,6,7,6,6
"3529",5,5,4,7,4,5
"3530",4,5,4,6,7,5
"3531",10,9,8,9,9,8
"3532",20,17,19,20,21,19
"3533",2,3,4,2,3,3
"3534",7,7,7,4,7,6
"3535",2,1,2,1,1,2
"3536",4,5,6,4,3,4
"3537",2,1,2,1,2,1
"3538",11,8,12,10,9,7
"3539",21,22,21,22,21,21
"3540",1,2,1,1,2,1
"3541",3,3,4,2,2,4
"3542",3,4,5,3,4,4
"3543",1,1,1,1,2,1
"3544",6,6,5,5,6,5
"3545",3,3,3,2,2,1
"3546",10,10,10,11,9,9
"3547",4,4,3,4,4,3
"3548",8,9,8,6,8,7
"3549",5,5,6,5,6,3
"3550",2,1,2,1,2,1
"3551",1,1,1,2,1,1
"3552",12,13,13,12,13,14
"3553",12,10,11,12,10,11
"3554",12,11,11,12,12,11
"3555",3,3,3,4,4,3
"3556",4,4,3,5,3,4
"3558",8,9,8,8,7,8
"3559",1,2,2,2,1,2
"3560",6,6,6,7,7,6
"3561",10,8,11,7,10,8
"3562",2,2,1,1,1,3
"3563",4,4,4,4,4,4
"3564",15,10,13,10,12,9
"3565",1,1,2,2,1,2
"3566",2,3,2,2,3,1
"3567",10,10,11,11,10,11
"3568",6,4,6,5,5,4
"3569",7,6,6,7,6,7
"3570",14,13,12,14,11,13
"3571",4,4,4,3,4,4
"3572",7,9,8,9,9,9
"3573",22,22,22,21,21,21
"3574",4,4,4,4,4,4
"3575",19,17,15,18,17,15
"3576",9,9,9,8,7,9
"3577",32,32,31,30,29,30
"3580",4,4,5,3,3,3
"3581",8,9,7,8,9,8
"3582",13,14,13,15,14,15
"3583",2,1,2,2,1,1
"3584",4,4,3,2,4,3
"3585",7,7,7,8,7,8
"3586",6,7,7,8,8,7
"3587",3,3,3,3,3,3
"3588",11,11,9,11,10,10
"3589",23,23,22,22,23,23
"3590",11,10,10,11,10,12
"3591",4,4,4,4,4,4
"3593",2,2,3,3,3,2
"3595",4,3,4,3,4,4
"3597",4,3,3,5,4,4
"3599",7,7,9,7,8,7
"3600",7,6,7,7,6,7
"3601",5,5,4,3,4,3
"3602",8,9,7,7,9,9
"3603",2,2,2,2,2,2
"3604",1,4,1,3,3,1
"3605",17,16,16,16,15,17
"3606",3,3,2,3,3,3
"3607",17,18,19,20,16,19
"3608",5,4,4,4,3,4
"3609",21,21,18,19,22,21
"3610",20,19,20,20,21,16
"3611",14,16,14,15,16,16
"3613",13,14,12,13,12,13
"3614",5,3,6,4,4,3
"3615",12,12,9,12,10,10
"3619",6,4,5,5,4,5
"3620",4,4,4,4,4,4
"3621",2,2,2,2,2,1
"3622",1,2,1,2,1,1
"3623",4,5,5,5,5,5
"3624",2,3,3,3,3,3
"3625",4,1,3,3,2,3
"3626",6,5,6,5,6,5
"3628",2,1,1,1,1,1
"3629",7,6,5,4,6,5
"3630",1,2,1,1,1,2
"3631",8,5,6,6,5,6
"3632",4,1,2,2,2,2
"3633",6,2,1,7,5,3
"3634",6,6,5,7,6,6
"3635",7,7,4,6,6,4
"3636",2,3,4,3,3,4
"3637",3,3,3,3,3,3
"3638",3,4,2,3,5,2
"3640",1,1,1,2,1,1
"3641",3,1,3,4,4,4
"3642",1,2,1,2,1,2
"3646",10,7,7,10,9,9
"3647",6,5,7,6,6,5
"3648",5,4,4,5,5,5
"3649",3,2,3,1,3,2
"3650",5,4,6,5,4,4
"3651",2,2,1,2,2,1
"3652",11,13,13,13,12,12
"3653",4,4,4,4,4,3
"3654",5,5,5,5,5,4
"3655",2,3,2,2,2,1
"3656",1,1,1,1,1,1
"3658",2,3,3,2,3,3
"3659",1,1,1,1,1,1
"3660",1,1,1,1,1,1
"3661",12,13,11,13,13,12
"3662",1,1,1,1,2,2
"3663",4,2,4,6,6,6
"3664",2,1,2,1,1,1
"3665",17,16,17,17,16,16
"3666",14,11,16,13,14,12
"3667",8,8,7,8,8,8
"3668",3,4,7,6,3,7
"3669",12,13,12,11,11,11
"3670",3,3,3,3,3,3
"3672",6,4,5,6,6,6
"3673",3,3,3,3,3,2
"3675",13,13,14,14,15,14
"3676",2,1,2,2,2,2
"3677",2,1,2,2,2,2
"3678",5,5,5,5,5,5
"3679",18,17,16,17,15,14
"3680",5,5,5,5,5,5
"3681",8,5,6,8,7,7
"3682",5,8,6,7,7,5
"3683",3,3,2,1,1,2
"3685",1,3,3,1,3,2
"3686",3,2,2,2,3,2
"3688",2,3,2,2,3,3
"3689",3,3,3,2,2,2
"3690",1,2,2,2,1,2
"3691",60,58,62,59,60,59
"3692",2,3,2,1,3,3
"3693",6,6,7,6,7,6
"3694",5,5,5,5,2,5
"3695",9,9,9,8,8,7
"3696",3,4,4,3,2,3
"3698",11,8,10,10,9,7
"3699",6,7,7,6,5,6
"3700",3,3,2,3,3,3
"3701",14,13,14,12,11,11
"3703",3,4,3,5,2,5
"3704",10,9,6,11,9,9
"3706",4,4,3,3,4,3
"3707",5,3,7,6,6,4
"3708",2,1,2,2,1,1
"3709",3,3,4,2,3,3
"3710",5,4,5,6,4,7
"3711",1,3,3,2,2,4
"3712",3,2,3,2,4,2
"3713",16,20,15,20,17,19
"3714",3,3,2,4,4,4
"3716",5,4,4,5,4,4
"3717",1,1,1,1,1,1
"3718",4,2,3,2,3,3
"3719",2,2,2,2,2,2
"3720",7,4,5,5,5,6
"3721",6,6,4,5,3,5
"3722",5,6,4,4,4,4
"3723",4,3,4,3,4,1
"3724",7,6,6,5,6,5
"3725",7,6,6,8,6,6
"3726",1,1,1,1,2,1
"3727",2,2,2,1,2,2
"3728",3,3,3,2,3,2
"3729",11,9,10,10,10,9
"3730",2,2,2,2,2,2
"3731",2,2,2,2,2,3
"3732",1,2,2,2,1,2
"3733",4,5,5,4,3,4
"3734",10,8,9,9,8,7
"3735",4,3,5,5,4,5
"3736",7,6,7,5,8,5
"3740",4,3,4,2,4,3
"3741",6,5,7,7,3,4
"3742",2,3,3,3,4,4
"3743",1,1,1,2,1,1
"3744",8,5,9,7,7,5
"3745",3,5,4,5,4,6
"3746",3,2,3,2,3,2
"3747",5,5,4,5,2,3
"3749",7,7,7,7,7,7
"3750",13,10,10,11,12,10
"3751",5,7,5,6,7,6
"3753",3,2,3,3,3,3
"3754",2,3,3,4,4,2
"3755",2,2,1,2,1,2
"3756",22,20,19,22,20,22
"3757",1,1,2,2,1,2
"3758",61,61,62,59,60,61
"3760",5,7,5,7,6,7
"3761",10,7,5,6,9,6
"3762",5,4,4,3,4,3
"3763",1,1,2,2,2,1
"3764",2,1,1,1,1,1
"3765",9,8,8,9,8,8
"3766",4,4,3,4,4,5
"3767",9,6,6,6,6,6
"3768",3,4,2,2,5,3
"3769",5,5,5,7,4,5
"3770",10,9,10,10,9,9
"3771",21,21,22,22,19,18
"3772",6,4,6,5,6,4
"3773",8,8,8,8,9,7
"3774",2,3,3,3,2,3
"3775",13,12,14,12,13,14
"3776",9,10,10,11,10,10
"3777",3,1,3,3,3,1
"3778",3,3,3,2,3,2
"3779",1,2,2,2,1,1
"3780",7,8,8,9,8,8
"3783",5,5,5,4,5,5
"3785",7,6,5,7,7,8
"3786",3,5,4,4,3,4
"3787",6,6,6,6,6,5
"3788",7,7,7,7,7,7
"3789",3,2,3,2,3,2
"3790",3,1,2,2,2,1
"3791",13,13,14,11,12,13
"3792",9,9,9,8,8,8
"3793",4,4,4,4,4,4
"3794",1,1,2,1,1,1
"3795",6,3,4,4,7,5
"3796",15,14,16,14,15,12
"3797",42,39,40,39,38,38
"3798",31,30,29,25,26,27
"3799",10,8,8,12,11,11
"3800",6,6,5,6,7,6
"3801",20,20,21,21,22,18
"3802",11,12,12,11,12,10
"3803",7,8,5,10,8,8
"3804",3,3,3,3,3,3
"3805",12,10,11,11,10,10
"3806",4,5,3,6,5,3
"3807",6,7,6,7,8,7
"3808",2,1,3,3,1,3
"3809",2,1,3,1,1,1
"3810",6,8,5,8,9,11
"3811",4,4,4,5,4,6
"3812",9,8,9,7,8,6
"3813",18,18,16,18,16,16
"3814",2,2,2,2,2,3
"3816",11,13,10,12,11,11
"3818",8,6,8,4,4,5
"3819",4,4,2,2,4,1
"3820",1,1,1,1,1,1
"3821",7,10,9,9,9,9
"3822",1,1,1,1,2,1
"3823",4,4,4,4,3,3
"3824",8,6,7,8,9,6
"3825",2,2,2,3,1,1
"3827",8,9,8,7,6,8
"3829",2,2,1,2,2,2
"3831",3,3,3,3,3,3
"3832",6,5,6,5,6,6
"3833",3,4,2,4,2,3
"3834",7,5,5,4,6,5
"3835",7,9,7,6,7,7
"3836",6,5,6,5,6,3
"3838",36,31,37,41,35,34
"3839",8,8,7,8,8,8
"3840",2,1,1,2,2,2
"3841",2,2,1,3,2,3
"3842",1,1,2,2,1,2
"3843",2,2,2,2,2,1
"3844",4,3,4,3,4,4
"3846",2,1,1,2,2,2
"3848",3,2,3,2,2,2
"3849",1,1,1,1,1,1
"3850",4,2,4,1,3,2
"3851",7,7,7,7,7,7
"3852",2,3,3,3,1,2
"3853",4,4,4,5,3,3
"3854",3,2,1,2,1,1
"3855",4,4,4,4,4,5
"3857",3,4,4,4,3,5
"3858",8,6,9,7,7,6
"3859",14,17,14,15,16,15
"3860",11,10,10,10,8,8
"3861",21,19,17,18,16,20
"3864",5,5,5,5,5,5
"3865",2,1,2,2,2,2
"3866",8,9,8,7,8,8
"3867",23,22,25,24,22,24
"3869",1,2,2,2,2,2
"3870",5,5,4,5,5,5
"3871",5,5,7,4,5,3
"3872",6,6,8,8,7,6
"3873",2,2,2,2,2,2
"3874",2,3,3,3,3,2
"3875",11,11,11,12,9,9
"3876",4,3,4,2,3,4
"3877",3,2,3,3,3,2
"3878",21,19,19,19,18,18
"3879",2,1,2,2,1,2
"3880",13,11,14,11,13,7
"3882",12,13,12,14,12,13
"3884",5,5,5,4,7,3
"3885",1,1,1,1,1,1
"3886",2,1,1,2,2,1
"3887",3,2,2,4,3,3
"3888",1,1,1,1,1,1
"3889",4,5,4,6,5,4
"3890",2,1,1,1,1,1
"3891",2,2,1,2,2,2
"3892",4,4,5,4,3,4
"3894",3,3,2,2,2,2
"3895",1,2,2,1,2,1
"3897",13,13,13,13,12,14
"3899",3,1,2,2,4,4
"3900",6,6,6,8,8,6
"3901",2,1,2,1,1,1
"3902",13,14,13,15,14,14
"3903",15,16,16,18,18,17
"3904",2,2,2,2,4,2
"3905",5,7,6,9,6,7
"3906",4,3,2,4,3,3
"3907",16,14,15,17,14,16
"3908",5,7,6,6,7,7
"3909",5,5,6,7,5,7
"3910",11,9,9,10,11,9
"3912",3,1,3,3,3,3
"3913",3,3,3,3,3,3
"3914",1,2,3,2,3,2
"3915",9,9,10,9,10,10
"3917",2,3,1,2,1,2
"3918",3,3,3,3,2,3
"3919",14,14,14,15,14,15
"3920",12,15,15,17,16,16
"3921",6,5,6,4,5,4
"3922",2,2,1,2,2,2
"3923",10,9,9,8,8,9
"3924",1,1,1,1,2,1
"3925",15,14,15,14,11,16
"3926",6,5,5,5,5,5
"3928",13,17,11,14,15,15
"3929",2,2,2,2,3,2
"3930",2,1,2,3,2,2
"3931",4,3,3,4,4,3
"3932",3,4,3,2,3,3
"3933",4,3,1,3,4,4
"3934",19,19,21,18,18,19
"3935",5,6,6,6,4,5
"3936",27,25,27,28,26,26
"3937",8,8,6,9,11,8
"3938",19,17,17,18,18,15
"3939",3,2,3,3,3,2
"3940",3,3,3,4,3,2
"3941",3,2,2,2,2,2
"3943",2,2,2,1,2,2
"3944",2,2,2,1,1,1
"3945",7,6,7,5,5,7
"3946",5,4,4,4,4,6
"3948",3,2,3,3,2,4
"3949",4,4,4,3,4,3
"3950",4,1,5,5,4,2
"3951",3,3,1,3,2,2
"3952",2,1,1,2,1,1
"3953",2,2,2,2,3,2
"3954",2,3,3,3,4,3
"3955",7,8,6,9,7,8
"3956",8,8,7,7,7,8
"3957",4,3,2,3,4,3
"3958",9,6,8,9,7,7
"3959",3,3,3,4,3,4
"3961",9,9,9,11,9,12
"3962",6,4,6,3,4,4
"3963",2,2,2,2,2,2
"3964",2,1,1,1,2,2
"3966",3,3,3,3,3,2
"3967",8,5,6,5,5,5
"3968",2,1,1,1,2,1
"3969",4,4,4,4,4,3
"3970",2,3,2,3,3,3
"3971",10,10,10,11,11,9
"3972",2,2,2,4,4,3
"3973",2,2,1,2,2,2
"3974",2,2,2,2,2,1
"3976",6,6,6,5,6,7
"3977",10,11,9,9,11,11
"3978",4,4,5,4,4,3
"3979",2,2,1,1,1,1
"3980",1,2,1,2,1,2
"3981",17,17,17,18,17,16
"3983",4,2,4,3,3,2
"3984",2,1,2,1,1,1
"3985",2,1,2,2,1,2
"3986",3,2,3,2,3,2
"3987",2,3,3,4,5,4
"3988",6,7,5,6,6,6
"3989",16,13,13,13,15,15
"3991",2,2,3,2,3,2
"3992",4,3,4,5,4,3
"3993",2,1,2,2,3,2
"3994",12,8,10,10,11,7
"3995",4,4,3,3,4,2
"3997",2,3,3,1,3,2
"3998",8,7,5,7,8,8
"3999",8,4,6,5,7,4
"4000",5,5,5,4,4,4
"4001",5,6,5,7,7,5
"4003",3,2,2,3,3,3
"4004",3,2,3,2,2,2
"4005",2,2,2,2,2,1
"4006",23,20,22,19,22,21
"4007",20,20,18,19,18,18
"4009",2,2,1,2,1,2
"4011",3,2,2,2,1,1
"4012",1,1,1,2,2,2
"4013",1,1,1,1,1,1
"4014",3,2,3,5,3,4
"4015",3,4,2,2,3,1
"4016",11,10,13,13,12,11
"4017",7,5,6,6,5,6
"4019",4,2,2,3,2,2
"4021",4,3,3,4,4,4
"4022",3,4,3,3,3,4
"4023",7,6,6,6,5,4
"4024",2,1,2,1,1,2
"4026",1,2,1,2,2,2
"4027",13,17,17,14,14,14
"4028",4,3,4,5,2,4
"4030",2,2,1,2,3,2
"4031",10,9,12,10,10,8
"4032",2,3,2,1,2,2
"4033",2,2,2,2,2,2
"4034",12,13,15,15,14,11
"4035",25,27,25,27,23,24
"4036",15,13,19,14,15,15
"4037",7,7,9,7,4,8
"4038",2,2,1,2,2,2
"4039",4,2,4,3,4,4
"4040",5,3,4,4,3,3
"4041",5,5,4,5,5,6
"4042",8,7,8,8,7,7
"4043",6,7,6,6,6,5
"4044",3,1,2,3,1,1
"4046",5,5,4,5,6,4
"4048",2,2,2,2,2,2
"4049",3,3,2,3,3,3
"4050",4,4,3,2,3,3
"4051",14,16,18,14,19,18
"4052",35,34,35,34,33,33
"4053",2,2,2,2,2,2
"4055",2,2,2,1,2,2
"4056",1,2,1,2,1,2
"4057",2,2,1,2,2,2
"4058",3,3,2,3,2,4
"4059",5,4,4,5,4,4
"4060",2,4,1,2,3,3
"4061",2,2,2,2,1,2
"4062",10,10,9,10,10,10
"4063",15,15,15,15,15,13
"4064",5,6,5,6,5,6
"4065",3,2,2,2,3,3
"4066",3,4,4,4,4,4
"4067",5,7,7,7,6,7
"4070",20,21,21,23,21,23
"4071",11,8,10,10,9,8
"4072",8,8,8,6,5,6
"4073",3,3,3,3,3,3
"4074",2,2,3,2,2,1
"4075",3,3,2,3,2,3
"4076",10,8,9,8,10,8
"4077",5,6,7,5,7,5
"4078",8,9,9,9,9,8
"4079",5,5,5,5,5,5
"4080",2,4,2,4,4,4
"4081",5,4,1,4,3,4
"4083",3,4,3,4,3,2
"4084",6,5,4,6,4,5
"4085",24,24,21,23,25,23
"4086",4,4,4,4,4,4
"4087",3,2,3,2,2,2
"4088",2,4,2,3,3,4
"4090",5,3,5,5,6,5
"4092",1,2,2,1,2,1
"4093",7,6,6,6,6,6
"4094",2,3,3,3,3,3
"4095",2,3,3,3,2,2
"4096",30,31,30,32,32,29
"4097",10,11,10,10,9,10
"4098",3,3,3,3,3,2
"4099",6,3,2,5,3,3
"4100",7,4,8,10,5,4
"4101",9,10,4,9,9,8
"4102",65,65,66,66,60,62
"4103",8,7,10,8,8,8
"4104",27,28,25,27,28,27
"4106",5,4,3,4,5,4
"4107",3,4,3,4,4,3
"4108",4,4,4,4,4,4
"4109",2,2,2,3,2,3
"4110",3,3,2,1,2,2
"4111",6,5,6,5,6,6
"4112",2,2,2,1,1,1
"4113",2,2,3,2,2,1
"4114",5,4,4,4,4,4
"4115",6,5,6,6,3,6
"4116",3,4,4,3,3,6
"4117",12,9,9,12,9,12
"4118",2,2,2,3,3,3
"4119",3,1,3,3,2,2
"4120",2,1,2,1,1,2
"4121",19,20,20,21,19,19
"4122",23,20,24,22,23,21
"4123",6,6,6,6,5,6
"4124",17,19,19,20,15,18
"4125",7,7,7,5,7,4
"4126",3,4,3,5,4,4
"4127",32,30,26,30,31,28
"4128",6,5,5,6,6,6
"4129",2,2,1,1,1,2
"4130",10,10,10,10,9,8
